dt,ticker,close,high,low
2015-12-30 14:00:00,AAL,42.83,43.64,42.7799
2015-12-30 14:00:00,AIG,62.63,62.675,62.25
2015-12-30 14:00:00,CAT,69.35,69.63,68.55
2015-12-30 14:00:00,CVS,99.13,99.6,99.1
2015-12-30 14:00:00,F,14.235,14.26,14.17
2015-12-30 14:00:00,FDX,148.595,149.25,148.01
2015-12-30 15:00:00,AAL,42.75,42.88,42.46
2015-12-30 15:00:00,AIG,62.66,62.73,62.5
2015-12-30 15:00:00,CAT,69.25,69.3999,68.96
2015-12-30 15:00:00,CVS,98.9,99.31,98.73
2015-12-30 15:00:00,F,14.21,14.25,14.15
2015-12-30 15:00:00,FDX,148.64,148.96,148.101
2015-12-30 16:00:00,AAL,42.88,42.94,42.69
2015-12-30 16:00:00,AIG,62.96,63.025,62.66
2015-12-30 16:00:00,CAT,69.43,69.55,69.22
2015-12-30 16:00:00,CVS,99.08,99.15,98.88
2015-12-30 16:00:00,F,14.22,14.25,14.19
2015-12-30 16:00:00,FDX,148.81,149.06,148.625
2015-12-30 17:00:00,AAL,43.04,43.089,42.86
2015-12-30 17:00:00,AIG,62.825,62.97,62.73
2015-12-30 17:00:00,CAT,69.045,69.45,69.0
2015-12-30 17:00:00,CVS,99.0,99.15,98.99
2015-12-30 17:00:00,F,14.215,14.25,14.18
2015-12-30 17:00:00,FDX,148.9853,148.9853,148.732
2015-12-30 18:00:00,AAL,42.9501,43.11,42.94
2015-12-30 18:00:00,AIG,62.97,63.0,62.79
2015-12-30 18:00:00,CAT,69.1304,69.25,69.0201
2015-12-30 18:00:00,CVS,99.085,99.09,98.93
2015-12-30 18:00:00,F,14.2249,14.25,14.21
2015-12-30 18:00:00,FDX,149.7599,149.76,148.96
2015-12-30 19:00:00,AAL,42.9211,43.09,42.9201
2015-12-30 19:00:00,AIG,62.74,62.96,62.73
2015-12-30 19:00:00,CAT,68.97,69.16,68.9665
2015-12-30 19:00:00,CVS,99.0634,99.12,98.87
2015-12-30 19:00:00,F,14.22,14.24,14.21
2015-12-30 19:00:00,FDX,149.42,150.14,149.42
2015-12-30 20:00:00,AAL,42.8,42.94,42.68
2015-12-30 20:00:00,AIG,62.47,62.795,62.47
2015-12-30 20:00:00,CAT,68.68,69.0,68.57
2015-12-30 20:00:00,CVS,98.73,99.23,98.71
2015-12-30 20:00:00,F,14.17,14.22,14.12
2015-12-30 20:00:00,FDX,149.19,149.81,149.0
