dt,ticker,close,high,low
2015-12-30,AAL,42.76,43.64,42.46
2015-12-30,AIG,62.51,63.025,62.25
2015-12-30,CAT,68.69,69.63,68.55
2015-12-30,CVS,98.74,99.6,98.71
2015-12-30,F,14.19,14.26,14.12
2015-12-30,FDX,149.18,150.14,148.01
2015-12-31,AAL,42.0,42.82,41.83
2015-12-31,AIG,62.01,62.74,61.96
2015-12-31,CAT,68.0,69.1,67.72
2015-12-31,CVS,97.51,98.72,97.51
2015-12-31,F,14.1,14.2,14.04
2015-12-31,FDX,148.95,150.35,148.11
2016-01-04,AAL,40.93,42.35,40.3
2016-01-04,AIG,60.4,61.11,59.82
2016-01-04,CAT,68.15,68.27,65.72
2016-01-04,CVS,96.5,96.8,95.365
2016-01-04,F,14.06,14.06,13.74
2016-01-04,FDX,143.43,147.0,142.8
2016-01-05,AAL,40.55,41.49,39.95
2016-01-05,AIG,60.64,60.95,60.0
2016-01-05,CAT,66.98100000000001,68.65,66.42
2016-01-05,CVS,96.74,97.15,95.9
2016-01-05,F,13.75,14.07,13.51
2016-01-05,FDX,144.65,144.73,142.39
2016-01-06,AAL,41.5,41.7,39.78
2016-01-06,AIG,59.6682,60.6703,58.87
2016-01-06,CAT,66.26,66.9,65.62
2016-01-06,CVS,95.56,96.46,95.05
2016-01-06,F,13.13,13.75,13.05
2016-01-06,FDX,140.77,143.3,140.28
2016-01-07,AAL,40.25,41.52,39.68
2016-01-07,AIG,58.29,59.5,58.02
2016-01-07,CAT,63.72,66.47,63.65
2016-01-07,CVS,94.0,95.685,93.5
2016-01-07,F,12.68,13.5,12.6
2016-01-07,FDX,134.3,138.75,134.29
2016-01-08,AAL,40.38,41.4,40.02
2016-01-08,AIG,57.4,59.48,57.3
2016-01-08,CAT,63.01,64.97,62.93
2016-01-08,CVS,93.6,95.995,93.28
2016-01-08,F,12.52,13.1,12.5
2016-01-08,FDX,134.0,137.23,134.0
2016-01-11,AAL,41.01,41.2,39.9
2016-01-11,AIG,57.69,58.0,56.84
2016-01-11,CAT,61.55,63.72,60.85
2016-01-11,CVS,95.0,95.3,93.56
2016-01-11,F,12.77,12.82,12.55
2016-01-11,FDX,132.58700000000002,135.05,131.23
2016-01-12,AAL,41.8,42.36,40.48
2016-01-12,AIG,58.84,58.84,57.3
2016-01-12,CAT,61.57,62.69,60.39
2016-01-12,CVS,95.69,96.19,94.69
2016-01-12,F,12.58,13.1,12.35
2016-01-12,FDX,134.73,135.26,132.53
2016-01-13,AAL,40.16,42.74,39.66
2016-01-13,AIG,56.67,59.87,56.5
2016-01-13,CAT,61.0,62.76,60.39
2016-01-13,CVS,94.11,96.625,93.95
2016-01-13,F,12.2,12.85,12.06
2016-01-13,FDX,130.29,136.33,129.61
2016-01-14,AAL,40.36,40.78,38.86
2016-01-14,AIG,57.3,57.82,56.38
2016-01-14,CAT,62.27,62.97,60.38
2016-01-14,CVS,95.51,96.34,94.0
2016-01-14,F,12.23,12.42,11.82
2016-01-14,FDX,132.0,132.84,128.3995
2016-01-15,AAL,38.85,40.0,38.37
2016-01-15,AIG,56.01,56.45,55.3131
2016-01-15,CAT,60.0,62.5,58.75
2016-01-15,CVS,93.9,95.75,92.95
2016-01-15,F,12.03,12.23,11.58
2016-01-15,FDX,126.94,128.93,124.838
2016-01-19,AAL,39.14,39.78,38.21
2016-01-19,AIG,56.13,57.23,55.84
2016-01-19,CAT,58.85,61.0,58.48
2016-01-19,CVS,95.0,95.557,93.9
2016-01-19,F,11.95,12.26,11.82
2016-01-19,FDX,127.5,129.75,125.28
2016-01-20,AAL,39.19,39.845,36.2
2016-01-20,AIG,55.15,55.72,53.49
2016-01-20,CAT,59.18,59.38,56.36
2016-01-20,CVS,93.83,95.0,92.35
2016-01-20,F,11.94,12.07,11.47
2016-01-20,FDX,123.5,125.47,119.71
2016-01-21,AAL,39.82,40.0,38.02
2016-01-21,AIG,55.31,56.12,54.54
2016-01-21,CAT,59.69,60.42,58.25
2016-01-21,CVS,94.48,95.31,93.51
2016-01-21,F,12.0,12.28,11.65
2016-01-21,FDX,123.57,125.085,122.0
2016-01-22,AAL,40.25,40.72,39.57
2016-01-22,AIG,56.35,56.93,55.31
2016-01-22,CAT,60.3,62.56,60.3
2016-01-22,CVS,95.64,96.09,94.38
2016-01-22,F,12.17,12.36,12.01
2016-01-22,FDX,127.56,128.091,123.57
2016-01-25,AAL,38.59,40.5,38.59
2016-01-25,AIG,55.36,56.47,55.32
2016-01-25,CAT,57.91,60.01,57.76
2016-01-25,CVS,94.066,95.8,93.99
2016-01-25,F,12.0,12.35,11.93
2016-01-25,FDX,125.89,128.05,125.71
2016-01-26,AAL,39.66,39.75,38.44
2016-01-26,AIG,55.8,57.0,55.48
2016-01-26,CAT,58.59,59.66,57.89
2016-01-26,CVS,94.04,94.51,93.42
2016-01-26,F,12.25,12.295,12.0
2016-01-26,FDX,129.25,129.75,125.8
2016-01-27,AAL,39.75,40.87,39.48
2016-01-27,AIG,54.48,56.15,54.47
2016-01-27,CAT,58.12,59.89,57.46
2016-01-27,CVS,94.48,95.31,93.48
2016-01-27,F,11.93,12.28,11.73
2016-01-27,FDX,128.25,131.7,127.71
2016-01-28,AAL,38.1,40.3,37.66
2016-01-28,AIG,54.4,55.3,54.18
2016-01-28,CAT,60.72,62.45,58.2
2016-01-28,CVS,93.02,95.35,93.01
2016-01-28,F,11.69,12.25,11.2
2016-01-28,FDX,128.0,129.8,127.45
2016-01-29,AAL,39.04,40.0,36.5982
2016-01-29,AIG,56.3,56.58,54.53
2016-01-29,CAT,62.25,62.29,60.72
2016-01-29,CVS,96.59,96.59,93.02
2016-01-29,F,11.9,11.94,11.64
2016-01-29,FDX,132.97,133.23,128.8
2016-02-01,AAL,39.08,39.94,38.63
2016-02-01,AIG,55.58,56.819,55.38
2016-02-01,CAT,62.7,63.08,61.25
2016-02-01,CVS,97.29,97.89,95.11
2016-02-01,F,12.06,12.2,11.73
2016-02-01,FDX,132.31,132.77,130.01
2016-02-02,AAL,36.9,39.4,36.9
2016-02-02,AIG,55.28,56.5,55.04
2016-02-02,CAT,60.75,62.0,60.48
2016-02-02,CVS,94.94,97.03,94.73
2016-02-02,F,11.55,12.08,11.45
2016-02-02,FDX,130.59,132.31,129.81
2016-02-03,AAL,37.51,37.61,35.755
2016-02-03,AIG,54.4,56.31,52.47
2016-02-03,CAT,63.27,63.6,59.8
2016-02-03,CVS,95.6,96.18,93.86
2016-02-03,F,11.46,11.75,11.02
2016-02-03,FDX,130.98,131.54,127.425
2016-02-04,AAL,38.18,38.6,36.701
2016-02-04,AIG,54.02,54.78,53.57
2016-02-04,CAT,65.82,66.99,62.95
2016-02-04,CVS,94.63,95.89,93.91
2016-02-04,F,11.48,11.69,11.26
2016-02-04,FDX,134.21,136.09,130.69
2016-02-05,AAL,36.75,38.49,36.53
2016-02-05,AIG,53.37,54.01,52.5
2016-02-05,CAT,66.08,66.76,65.18
2016-02-05,CVS,93.0,94.79,92.56
2016-02-05,F,11.5,11.7,11.42
2016-02-05,FDX,131.91,134.543,131.63
2016-02-08,AAL,35.55,36.4,34.76
2016-02-08,AIG,52.3,52.77,51.85
2016-02-08,CAT,64.83,65.64,63.66
2016-02-08,CVS,89.64,92.38,89.24
2016-02-08,F,11.6,11.69,11.25
2016-02-08,FDX,130.33,131.91,128.05
2016-02-09,AAL,36.25,36.75,34.81
2016-02-09,AIG,52.25,52.87,51.25
2016-02-09,CAT,63.76,64.41,63.12
2016-02-09,CVS,90.51,91.96,86.03
2016-02-09,F,11.35,11.66,11.22
2016-02-09,FDX,129.77,131.16,128.06
2016-02-10,AAL,37.15,37.64,36.25
2016-02-10,AIG,52.53,53.46,52.36
2016-02-10,CAT,62.0,64.57,62.0
2016-02-10,CVS,93.1,94.35,90.52
2016-02-10,F,11.34,11.57,11.33
2016-02-10,FDX,127.5,131.7703,125.51
2016-02-11,AAL,36.5,37.2199,36.17
2016-02-11,AIG,51.45,51.56,50.0
2016-02-11,CAT,61.41,62.31,60.47
2016-02-11,CVS,93.87,94.39,91.1
2016-02-11,F,11.2,11.43,11.09
2016-02-11,FDX,124.9,127.4,122.78
2016-02-12,AAL,37.81,37.98,36.42
2016-02-12,AIG,53.04,54.25,50.45
2016-02-12,CAT,63.38,63.47,61.75
2016-02-12,CVS,95.86,95.97,94.03
2016-02-12,F,11.52,11.58,11.17
2016-02-12,FDX,128.31,128.72,125.39
2016-02-16,AAL,38.59,38.77,37.53
2016-02-16,AIG,51.91,53.49,51.8
2016-02-16,CAT,65.03,65.55,63.51
